G,grid,N_train,N_monitor,N_build,rank,monitor_max_pct,val_mean_pct,val_max_pct,val_le_001pct,FOM_median_s,offline_ready_s,assembly_s,wrapper_total_s,reduced_K_min_eig,schur_eta_min,rom_failure_count
G00,150×150×150,11,5,16,66,0.009620393619178118,0.023726619499865462,0.09871132329887602,7,1.552225996972993,30.10289561911486,5.916075570974499,145.67207212699577,0.32552607363035146,-1.9438910540348294e-07,0
G01,150×150×150,6,5,11,36,0.009056461086489305,0.0182856639241929,0.052477236783695855,7,1.5009758740197867,18.063859291141853,2.3822611570358276,131.1250422380399,0.331914877601212,6.860211388884615e-08,0
G02,150×150×150,15,5,20,90,0.00952387327442866,0.02436532084245275,0.10317080671984505,10,1.5438616945175454,40.55455578211695,9.57427712250501,157.5150394141674,0.3268203740210726,-5.799553254886041e-07,0
G03,60×60×60,11,5,16,66,0.008079581131072888,0.01648310708894295,0.0604684184016788,10,0.12259884097147733,3.871873414842412,1.3368943517562002,17.22752787801437,0.32492554145081204,5.3846649996416574e-08,0
G04,240×240×240,12,5,17,72,0.009094341247380695,0.020946511933355096,0.07928827110530463,9,6.232800161000341,119.3256753589958,18.342295887880027,589.1880208698567,0.3265444470837352,-1.2465338967088344e-06,0
G05,150×150×150,11,5,16,66,0.00976574749355907,0.024344430125144957,0.10458251481002066,9,1.5334637585328892,29.965344961034134,5.895057247020304,144.96125991782174,0.32526204003534526,-8.001594243238201e-07,0
G06,150×150×150,11,5,16,66,0.009210156008036123,0.02597314705581198,0.10833452030478952,9,1.5307117849588394,30.033269674982876,5.893268810817972,145.0767418530304,0.3256726432985601,9.19490022640464e-09,0
G07,150×150×150,12,5,17,72,0.00801354099159843,0.018728299133882912,0.07006309282712933,10,1.53986892150715,32.69207236310467,6.795672876993194,148.09302346291952,0.3257296106006841,-3.8011386419195934e-07,0
G08,60×60×60,6,5,11,36,0.00921173572834518,0.017859160837342698,0.07947706509981986,8,0.12026793998666108,2.0760155071038753,0.4326482021715492,14.377998206065968,0.32937648704275907,2.6747888020032762e-08,0
G09,240×240×240,16,5,21,96,0.009754348706098334,0.026145135517013862,0.13215910591889518,9,6.091222812072374,159.13737111282535,30.749198314500973,632.8271111990325,0.32739745662799363,-2.1862331045524384e-06,0
